index,expression
44,"Sum(Cov(Std((Med(Ir(((-2.0/vwap)/-1.0),1),10)/-0.01),50),(close-0.5),20),50)"
45,(Inv((Abs((Abs(high)+0.01))-10.0))-0.5)
46,"Mad((high-Log(Med(open,20))),20)"
47,"((30.0-high)/((Skew((5.0**Ema(ts_div(Inv((open/1.0)),40),20)),20)+0.5)/-0.01))"
48,"Mad(Sum(ts_div(open,50),1),1)"
49,(low**(-10.0*(Inv(vwap)--0.5)))
50,"(30.0/Wma((close**-2.0),30))"
51,"Cov(low,((10.0*(Delta(vwap,30)*-0.5))/low),30)"
52,"(0.01/Ref(Kurt((Min(high,30)/-30.0),30),5))"
53,"Ref(((Var(Sum(Min(Inv((-10.0/close)),1),10),30)**vwap)/Log(Cov(volume,low,10))),40)"
54,"(-2.0+(volume*(Pctchange((-1.0*((vwap*Log(((-5.0-vwap)/-5.0)))-open)),30)/-10.0)))"
55,"Inv(Mean(Log((-1.0**(close+-0.5))),40))"
56,"((-0.01**high)-Ref((Kurt(low,40)+0.01),1))"
57,"(-30.0*(high/(-1.0+(Inv(vwap)**Log(Max(Pctchange(Delta((-30.0-volume),1),1),10))))))"
58,"Ema((((((-0.5-open)**30.0)-2.0)**Pctchange(Log(((-1.0+high)*10.0)),10))*0.01),20)"
59,"(((Corr(Skew(Inv(Log(Log(high))),1),volume,40)*-10.0)*Mad(Ir(Inv(vwap),20),1))+1.0)"
60,"(30.0*Wma(Inv(Corr((volume-(-10.0*Log(vwap))),high,1)),5))"
61,((-10.0-(volume*(vwap+2.0)))/10.0)
62,"(Max((((Log(Ema((-0.5*vwap),50))**volume)-(-2.0*Sum(vwap,1)))**10.0),30)*5.0)"
63,"Log(Abs(Min((30.0+vwap),30)))"
64,"(Log(Pctchange(Max((open**(open/0.01)),50),1))/2.0)"
65,"(Cov((Wma(Ir(open,1),1)--0.5),open,1)-((-0.5-open)*Ir((-1.0**open),10)))"
66,"Sum((Var((volume+1.0),5)+-2.0),30)"
67,"Abs(Log(Mad(Ema((-10.0**(high-0.5)),50),10)))"
68,"Ir((((Std(ts_div((30.0+(Inv(Ref(low,30))/-30.0)),1),5)/5.0)-2.0)-10.0),40)"
69,"Cov((1.0*((Inv(volume)/S_log1p(vwap))*-1.0)),(-10.0*Abs(Wma(open,20))),40)"
70,"(Mean(Sum((Abs(((volume**5.0)-0.01))**10.0),50),1)/-2.0)"
71,"((Mad(volume,5)-2.0)+-1.0)"
72,"S_log1p(Min(Mad(Cov((-0.01**Ir((open/0.01),5)),S_log1p(Std(Med(low,40),5)),5),30),10))"
73,((-30.0**Inv((close-1.0)))/0.5)
74,"Std(((open**(open/-0.5))/0.01),30)"
75,"(ts_div((Mad((high/1.0),5)**1.0),1)/ts_div((Log(((open/-2.0)--30.0))/-30.0),50))"
76,"(ts_div((Log(close)+(Pctchange(close,10)*Mean(Min(Ema(Mad(open,40),1),30),50))),20)/volume)"
77,"Min(S_log1p(Mean((Delta((((-30.0-low)/-10.0)/1.0),20)*volume),1)),1)"
78,"(Cov((volume/-0.5),open,1)**Var((volume**(volume/1.0)),10))"
79,"Abs(((((vwap/-30.0)-(Inv((Ir(vwap,50)**10.0))**-5.0))**-10.0)-Abs((0.5-low))))"
80,"Delta(Max((Min((low/0.5),40)+2.0),10),5)"
81,Log(((Inv((-30.0/S_log1p(open)))-10.0)/0.01))
82,(((open-high)**-5.0)*(open*0.01))
83,"Min(((((30.0**((Corr(open,(1.0**volume),20)*2.0)/1.0))/-5.0)-2.0)*10.0),40)"
84,"Std((30.0-S_log1p((open/(Pctchange(S_log1p(open),5)*Ref(low,50))))),1)"
85,"Abs((Log(Wma(high,20))**(5.0-open)))"
86,"Var((-2.0/(close*ts_div(vwap,10))),20)"
87,"Kurt(((Corr((Abs((-2.0*Med(low,30)))-10.0),volume,30)/(S_log1p(close)**high))-5.0),1)"
88,"Ema((5.0-(vwap*2.0)),1)"
89,"((30.0**Std(Sum((volume-S_log1p((open**-0.01))),1),1))/((30.0**Wma(vwap,5))/-30.0))"
90,"Log(Wma(Abs(Inv((Log(Ref(Abs((Min(((1.0**close)**-0.5),1)*1.0)),40))*-0.5))),5))"
91,"((Mean(Med((vwap*0.01),40),40)**vwap)-0.5)"
92,"(30.0*Inv(Corr((volume-volume),Inv(vwap),1)))"
93,"(open*(Std((low/30.0),5)-30.0))"
94,"(((-5.0**(((high/vwap)**-1.0)/10.0))-low)/Var(((0.5**Log(volume))/1.0),1))"
95,"Std((Ref((Med((-0.01**Std(vwap,10)),1)*(-2.0*Sum(vwap,30))),1)+2.0),30)"
96,"S_log1p(((Max(Max(Ema(Ema((-30.0/Log(low)),40),30),40),1)+10.0)+10.0))"
97,"Cov(Pctchange(close,5),low,1)"
98,(Inv(Log(((volume+-2.0)**2.0)))*-30.0)
99,"Kurt(((-1.0-Delta((Var(Log(Wma(Med(low,30),20)),30)/(1.0*close)),50))-0.01),50)"
